date,code,description,ballColor,isStrike,isBall,eventType,ball_count,strike_count,strikeZoneTop,strikeZoneBottom,x,y,pitchNumber,pitcher_name,pitcher_id,pitch_hand,batter_name,batter_id,bat_side
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,single,1,0,3.371,1.535,59.24,204.04,1,Luis Gastelum,703725,Right,Julian Escobedo,686659,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,single,2,0,3.371,1.535,89.04,213.93,2,Luis Gastelum,703725,Right,Julian Escobedo,686659,Left
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,single,2,1,3.371,1.535,98.68,127.23,3,Luis Gastelum,703725,Right,Julian Escobedo,686659,Left
2024-10-13,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,single,2,2,3.371,1.535,132.87,142.31,4,Luis Gastelum,703725,Right,Julian Escobedo,686659,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,single,3,2,3.371,1.535,61.43,117.81,5,Luis Gastelum,703725,Right,Julian Escobedo,686659,Left
2024-10-13,E,"In play, run(s)","rgba(26, 86, 190, 1.0)",False,False,single,3,2,3.371,1.535,103.51,146.55,6,Luis Gastelum,703725,Right,Julian Escobedo,686659,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,0,3.467,1.589,92.99,211.58,1,Luis Gastelum,703725,Right,Brantley Bell,664009,Right
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,field_out,1,1,3.467,1.589,97.81,146.55,2,Luis Gastelum,703725,Right,Brantley Bell,664009,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,2,1,3.467,1.589,73.26,205.92,3,Luis Gastelum,703725,Right,Brantley Bell,664009,Right
2024-10-13,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,2,1,3.467,1.589,110.08,151.26,4,Luis Gastelum,703725,Right,Brantley Bell,664009,Right
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,1,3.26,1.481,111.83,146.08,1,Luis Gastelum,703725,Right,Luis Juarez,550492,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,1,1,3.26,1.481,115.34,103.2,2,Luis Gastelum,703725,Right,Luis Juarez,550492,Right
2024-10-13,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,1,2,3.26,1.481,101.31,154.09,3,Luis Gastelum,703725,Right,Luis Juarez,550492,Right
2024-10-13,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,1,3,3.26,1.481,64.49,179.54,4,Luis Gastelum,703725,Right,Luis Juarez,550492,Right
2024-10-13,H,Hit By Pitch,"rgba(39, 161, 39, 1.0)",False,True,hit_by_pitch,1,0,3.26,1.481,189.85,127.7,1,Esteban Bloch,691823,Right,Justin Dean,681909,Right
2024-10-13,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,sac_bunt,0,0,3.179,1.474,99.12,161.63,1,Esteban Bloch,691823,Right,Alan Espinoza,587275,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,0,3.467,1.589,124.54,216.76,1,Esteban Bloch,691823,Right,Marco Jaime,668616,Left
2024-10-13,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,1,0,3.467,1.589,99.56,152.21,2,Esteban Bloch,691823,Right,Marco Jaime,668616,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,1,0,3.104,1.448,165.31,102.26,1,Jonathan Partida,674476,Left,Roel Santos,661270,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,2,0,3.104,1.448,59.67,85.77,2,Jonathan Partida,674476,Left,Roel Santos,661270,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,3,0,3.104,1.448,129.8,107.44,3,Jonathan Partida,674476,Left,Roel Santos,661270,Left
