season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,IP_numeric,QS
2024,5482,Algodoneros de Guasave,664039,Geno Encina,1,"SP, RP",3,1,8,5,6,1,1,0,0,5,0,9,0,0.409,22,0.519,0.545,1.064,1,0,0.0,2,114,10.13,5.1,0,1,0,0,1,0,6,2.63,27,16,3,0,0,63,0.55,0,0,0,1,12,1.6,0.0,21.38,1,0.0,0.0,8.44,15.19,10.13,0.0,0,0,0,0,0,GSV,5.333333333333333,0
2024,5482,Algodoneros de Guasave,691714,Kevin Ribon,1,RP,2,0,4,1,6,0,0,0,0,1,0,4,1,0.5,8,0.545,0.5,1.045,0,0,,0,40,13.5,1.1,0,0,0,0,0,0,2,3.75,11,4,2,0,0,24,0.6,1,0,1,0,4,4.0,,30.0,0,0.0,0.0,6.75,27.0,40.5,0.0,2,0,0,0,1,GSV,1.3333333333333333,0
2024,5482,Algodoneros de Guasave,675546,Jesus Huerta,1,RP,4,0,2,5,7,2,0,2,2,4,0,7,0,0.467,15,0.55,1.0,1.55,0,2,100.0,0,88,18.0,3.0,0,1,0,1,0,1,6,3.67,20,9,4,0,0,54,0.61,0,0,0,0,15,0.4,0.0,29.33,0,0.5,6.0,12.0,21.0,21.0,6.0,3,0,0,0,1,GSV,3.0,0
2024,5482,Algodoneros de Guasave,676019,Oscar Rojas,1,RP,1,0,0,1,2,0,0,0,1,2,0,2,0,0.667,3,0.667,0.667,1.334,0,0,,0,29,27.0,0.2,0,0,0,0,0,0,2,6.0,6,2,1,0,0,15,0.52,0,0,0,0,2,0.0,,43.5,0,0.5,13.5,27.0,27.0,27.0,0.0,0,0,0,0,1,GSV,0.6666666666666666,0
2024,5483,Sultanes de Monterrey,701013,Ricardo Chapa,1,RP,3,0,7,6,0,0,0,0,3,2,0,1,0,0.059,17,0.158,0.059,0.217,1,2,66.7,0,77,0.0,5.1,0,0,0,0,0,0,0,0.56,19,16,3,0,0,44,0.57,0,1,0,0,1,1.17,,14.44,0,1.5,5.06,3.38,1.69,0.0,0.0,1,0,0,0,0,MTY,5.333333333333333,0
2024,5483,Sultanes de Monterrey,660995,Nathanael Santiago,1,RP,7,0,4,4,0,1,0,0,5,6,1,6,0,0.316,19,0.48,0.368,0.848,0,0,,1,101,0.0,4.1,0,0,0,0,1,0,0,2.77,25,13,7,0,0,55,0.54,0,0,0,0,7,1.0,,23.31,1,0.83,10.38,12.46,12.46,0.0,0.0,4,3,0,0,0,MTY,4.333333333333333,0
2024,5483,Sultanes de Monterrey,669105,Zach Muckenhirn,1,SP,4,4,25,22,4,1,0,1,16,9,0,10,0,0.137,73,0.232,0.192,0.424,2,6,75.0,0,296,1.23,22.0,2,0,0,0,0,0,3,0.86,82,66,4,0,0,194,0.66,0,0,1,1,14,1.14,1.0,13.45,0,1.78,6.55,3.68,4.09,1.64,0.41,0,0,0,0,0,MTY,22.0,2
2024,5483,Sultanes de Monterrey,676666,Matt Turner,1,RP,11,0,13,7,6,1,0,1,12,3,1,9,0,0.231,39,0.279,0.333,0.612,1,0,0.0,0,173,1.64,11.0,1,0,1,2,2,1,2,1.09,44,33,11,0,0,114,0.66,0,0,2,0,13,1.86,1.0,15.73,5,4.0,9.82,2.45,7.36,4.91,0.82,5,1,0,1,1,MTY,11.0,0
2024,5483,Sultanes de Monterrey,667712,Austin Hansen,1,RP,6,0,6,7,3,0,0,0,4,3,1,4,2,0.2,20,0.346,0.2,0.546,0,2,100.0,1,99,1.69,5.1,1,1,0,1,1,1,1,1.31,26,16,6,0,0,57,0.58,2,0,0,0,4,0.86,0.5,18.56,2,1.33,6.75,5.06,6.75,5.06,0.0,3,0,0,0,1,MTY,5.333333333333333,0
2024,5483,Sultanes de Monterrey,805678,Joe Riley,1,RP,3,0,3,7,2,1,0,0,2,2,0,2,0,0.182,11,0.286,0.273,0.559,0,0,,0,67,2.25,4.0,0,0,0,1,0,1,1,1.0,16,12,3,0,0,43,0.64,0,0,0,0,3,0.43,,16.75,0,1.0,4.5,4.5,4.5,4.5,0.0,0,0,0,2,1,MTY,4.0,0
